Level 0,Level 1,Level 2,Level 3,Process Owner,Description/Comments
SUPPORT,,,,Operations Director,"Support functions: governance, standards, sustainability, data systems, documentation, reporting, finance"
SUPPORT,"Governance, Standards & Sustainability",,,Quality Director,"Quality governance, factory standards, environmental framework"
SUPPORT,"Governance, Standards & Sustainability",Quality Governance Approach,,Quality Manager,Prevention-focused quality management framework
SUPPORT,"Governance, Standards & Sustainability",Factory Standards Framework (5 Pillars),,Quality Manager,"Management, Employment, H&S, QMS, Environment standards"
SUPPORT,"Governance, Standards & Sustainability",Environment Framework,,Sustainability Lead,"Carbon management, packaging optimization, product efficiency"
SUPPORT,"Data, Systems & Reporting",,,IT & Data Director,"ERP systems, data management, document library, KPI reporting"
SUPPORT,"Data, Systems & Reporting",ERP Facilitation & Data Flow,,Systems Manager,End-to-end data integration
SUPPORT,"Data, Systems & Reporting",Data Management,,Data Manager,Product and order data maintenance
SUPPORT,"Data, Systems & Reporting",Document Library,,Document Controller,Document storage and retrieval
SUPPORT,"Data, Systems & Reporting",KPI Reporting,,BI Analyst,Client KPI dashboard production
SUPPORT,Commercial & Finance Support,,,Finance Director,"Commercial support, payment and finance management"
SUPPORT,Commercial & Finance Support,Payment & Finance,,Finance Manager,Payment processing and financial management
SUPPORT,Issue Resolution & Risk Management,,,Operations Manager,"Non-conformance, claims, cost recovery, risk mitigation"
SUPPORT,Issue Resolution & Risk Management,Non-Conformance Management,,Quality Manager,"NCR, CAP and RTV processes"
SUPPORT,Issue Resolution & Risk Management,Claims & Cost Recovery,,Finance Director,Claims processing and cost recovery
SOURCE,,,,Sourcing Director,"Client intake, vendor engagement, sourcing and factory audit programs"
SOURCE,Client Intake & Commercial Setup,,,Commercial Manager,"Client briefing, agreements, range confirmation"
SOURCE,Client Intake & Commercial Setup,Client Brief,,Account Manager,Client brief and requirements gathering
SOURCE,Client Intake & Commercial Setup,Commercial Agreements,,Legal/Commercial Lead,"Sourcing services agreement, terms and conditions"
SOURCE,Client Intake & Commercial Setup,Range Confirmation,,Category Manager,Range selection and approval
SOURCE,Vendor Engagement & Sourcing,,,Sourcing Manager,"Vendor identification, quotation, tendering, sourcing"
SOURCE,Vendor Engagement & Sourcing,Vendor Engagement,,Vendor Relations Lead,Vendor identification and engagement
SOURCE,Vendor Engagement & Sourcing,Quotation Process,,Sourcing Lead,Quotation management and costing
SOURCE,Vendor Engagement & Sourcing,Tender Management,,Sourcing Lead,Tender process and commercial evaluation
SOURCE,Vendor Engagement & Sourcing,Sourcing Execution,,Sourcing Lead,Sourcing cycle execution
SOURCE,Factory Audit Programs,,,Quality Director,"Factory profile, Surity audit, CSR audit, contracts, re-audits"
SOURCE,Factory Audit Programs,Factory Profile Review,,Quality Manager,Factory assessment and profile report
SOURCE,Factory Audit Programs,Factory Profile Review,Factory Profile Report Preparation,QA Engineer,"Review factory basic information, capacity, certifications"
SOURCE,Factory Audit Programs,Surity Audit,,Quality Manager,On-site 5 Pillars assessment
SOURCE,Factory Audit Programs,Surity Audit,Audit Planning & Scheduling,Quality Manager,"Schedule on-site audit, coordinate with factory"
SOURCE,Factory Audit Programs,Surity Audit,On-site 5 Pillars Assessment,QA Engineer,"Assess Management, Employment, H&S, QMS, Environment"
SOURCE,Factory Audit Programs,Surity Audit,Audit Report Preparation,QA Engineer,Document findings and recommendations
SOURCE,Factory Audit Programs,CSR Audit (3rd Party),,Compliance Manager,"BSCI, SEDEX, SA8000, ICS audits"
SOURCE,Factory Audit Programs,CSR Audit (3rd Party),CSR Audit Body Selection,Compliance Manager,"Select BSCI, SEDEX, SA8000, or ICS based on client requirements"
SOURCE,Factory Audit Programs,CSR Audit (3rd Party),CSR Audit Coordination,Compliance Manager,"Coordinate 3rd party audit, obtain reports"
SOURCE,Factory Audit Programs,Audit Grading & CAP,,Quality Manager,Grade assignment and CAP issuance (Good/Satisfactory/Improvement/Reject)
SOURCE,Factory Audit Programs,Audit Grading & CAP,Audit Grading,Quality Manager,"Assign grade: Good, Satisfactory, Improvement Needed, or Reject"
SOURCE,Factory Audit Programs,Audit Grading & CAP,CAP Issuance,Quality Manager,Issue Corrective Action Plan for non-compliances
SOURCE,Factory Audit Programs,Factory Contract Execution,,Legal/Commercial Lead,Contract and service agreement execution
